Date;Mortgaged_Sales;USD/TL;Housing_Interest;CPI
2017-03;50.424,00;3,67;11,06;305,24
2017-04;43.334,00;3,65;11,28;309,23
2017-05;41.738,00;3,56;11,55;310,61
2017-06;35.210,00;3,52;11,72;309,78
2017-07;38.575,00;3,56;12,02;310,24
2017-08;38.743,00;3,51;12,49;311,85
2017-09;40.534,00;3,47;12,87;313,88
2017-10;38.593,00;3,66;13,05;320,4
2017-11;37.250,00;3,88;13,12;325,18
2017-12;34.029,00;3,85;13,52;327,41
2018-01;28.678,00;3,77;14,14;330,75
2018-02;27.916,00;3,78;14,68;333,17
2018-03;32.786,00;3,88;14,79;336,48
2018-04;27.912,00;4,05;14,83;342,78
2018-05;36.865,00;4,41;13,88;348,34
2018-06;47.648,00;4,63;13,1;357,44
2018-07;30.405,00;4,75;16,86;359,41
2018-08;12.743,00;5,73;18,99;367,66
2018-09;11.330,00;6,37;25,18;390,84
2018-10;8.065,00;5,86;28,95;401,27
2018-11;5.324,00;5,37;28,63;395,48
2018-12;7.148,00;5,31;27,82;393,88
2019-01;6.537,00;5,37;26,22;398,07
2019-02;8.890,00;5,26;22,98;398,71
2019-03;22.762,00;5,44;18,16;402,81
2019-04;22.461,00;5,74;17,7;409,63
2019-05;14.916,00;6,05;20,45;413,52
2019-06;7.319,00;5,81;21,81;413,63
2019-07;13.064,00;5,67;21,06;419,24
2019-08;34.148,00;5,62;14,15;422,84
2019-09;57.811,00;5,71;12,98;427,04
2019-10;50.411,00;5,78;13,12;435,59
2019-11;43.911,00;5,73;12,96;437,25
2019-12;50.278,00;5,84;12,69;440,5
2020-01;42.237,00;5,92;11,88;446,45
2020-02;43.733,00;6,04;11,43;448,02
2020-03;43.329,00;6,31;11,4;450,58
